SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
1,Apple,iPhone 5c,2013 September,Yes,Non-removable Li-Po 1510 mAh battery (5.73 Wh),4.0| A2DP| LE,Dual-core 1.3 GHz Swift (ARM v7-based),Apple A6,White| Blue| Green| Yellow| Pink,124.4 x 59.2 x 9 mm (4.90 x 2.33 x 0.35 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX 543MP3 (triple-core graphics),8/16/32 GB,Yes,No,GSM / CDMA / HSPA / LTE,iOS 7| upgradable to iOS 10.3.2,8 MP| f/2.4| 33mm| autofocus| LED flash|,1 GB RAM,No,Nano-SIM,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Accelerometer| gyro| proximity| compass,Available. Released 2013 September,2.0| reversible connector
2,Apple,iPad mini 2,2013 October,Yes,Non-removable Li-Po 6470 mAh battery (24.3 Wh),4.0| A2DP| EDR,Dual-core 1.3 GHz Cyclone (ARM v8-based),Apple A7,Space Gray/Black| Silver/White,200 x 134.7 x 7.5 mm (7.87 x 5.30 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR G6430 (quad-core graphics),16/32/64/128 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 7| upgradable to iOS 10.3.2,5 MP| f/2.4| 33mm| autofocus|,1 GB RAM DDR3,No,Nano-SIM,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Accelerometer| gyro| compass,Available. Released 2013 November,2.0| reversible connector
3,Apple,iPad Wi-Fi + 3G,2010 January. Released 2010 March,Yes,Non-removable Li-Po 6600 mAh battery (24.8 Wh),2.1| A2DP| EDR,1.0 GHz Cortex-A8,Apple A4,Silver,242.8 x 189.7 x 13.4 mm (9.56 x 7.47 x 0.53 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX535,16/32/64 GB,Yes,No,GSM / HSPA,iOS 4| upgradable to iOS 5.1.1,(undefined),256 MB RAM,No,Micro-SIM,(undefined),Accelerometer| compass,Discontinued,2
4,Apple,iPad Air 2,2014 October,Yes,Non-removable Li-Po 7340 mAh battery (27.62 Wh),4.0| A2DP| EDR,Triple-core 1.5 GHz Typhoon,Apple A8X,Space Gray| Silver| Gold,240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GXA6850 (octa-core graphics),16/32/64/128 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 8.1| upgradable to iOS 10.3.2,8 MP| f/2.4| 31mm| autofocus|,2 GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Available. Released 2014 October,2.0| reversible connector
5,Apple,Watch Sport 38mm,2014 September,No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),4.0| LE,520 MHz,Apple S1,Silver/White| Orange| Blue, Gray/Black,38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),(undefined),No,No,PowerVR SGX543,Yes,Yes,No cellular connectivity,(undefined),watchOS 1.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,Available. Released 2015 April
6,Apple,iPad mini 4,2015 September,Yes,Non-removable Li-Ion 5124 mAh battery (19.1 Wh),4.0| A2DP| EDR,Dual-core 1.5 GHz Typhoon,Apple A8,Space Gray| Silver| Gold,203.2 x 134.8 x 6.1 mm (8.0 x 5.31 x 0.24 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GX6450 (quad-core graphics),16/32/64/128 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 9| upgradable to iOS 10.3.2,8 MP| f/2.4| 32mm| autofocus,2 GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),1.2 MP| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Available. Released 2015 September,2.0| reversible connector
7,Apple,iPad Air,2013 October,Yes,Non-removable Li-Po 8600 mAh battery (32.4 Wh),4.0| A2DP| EDR,Dual-core 1.3 GHz Cyclone (ARM v8-based),Apple A7,Space Gray| Silver,240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR G6430 (quad-core graphics),16/32/64/128 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 7| upgradable to iOS 10.3.2,5 MP| f/2.4| 33mm| autofocus|,1 GB RAM DDR3,No,Nano-SIM,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Accelerometer| gyro| compass,Available. Released November 2013,2.0| reversible connector
8,Apple,iPad Pro,2015 September,Yes,Non-removable Li-Ion 10|307 mAh battery (38.8 Wh),4.0| A2DP| EDR,Dual-core 2.26 GHz (Twister),Apple A9X,Space Gray| Silver| Gold,305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,Fi + Cellular model only),PowerVR Series 7 (12-core graphics),32/128/256 GB,Yes with stereo speakers (4 speakers),NFC,HSPA 42.2/5.76 Mbps LTE-A Cat4 150/50 Mbps EV-DO Rev.A 3.1 Mbps,iOS 9| upgradable to iOS 10.3.2,8 MP| f/2.4| 31mm| autofocus|,4 GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),1.2 MP| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,GSM 850 / 900 / 1800 / 1900
9,Apple,iPad Pro 10.5,2017 June,Yes,Non-removable Li-Ion battery (30.4 Wh),4.2| A2DP| EDR,(undefined),Apple A10X Fusion,Space Gray| Rose Gold| Gold| Silver,250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,Fi + Cellular model only),(undefined),64/256/512 GB,Yes with stereo speakers (4 speakers),NFC,HSPA 42.2/5.76 Mbps LTE-A (3CA) Cat9 450/50 Mbps EV-DO Rev.A 3.1 Mbps,iOS 10.3.2,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,4GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,GSM 850 / 900 / 1800 / 1900
10,Apple,iPhone 6 Plus,2014 September,Yes,Non-removable Li-Po 2915 mAh battery (11.1 Wh),4.0| A2DP| LE,Dual-core 1.4 GHz Typhoon (ARM v8-based),Apple A8,Space Gray| Silver| Gold,158.1 x 77.8 x 7.1 mm (6.22 x 3.06 x 0.28 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GX6450 (quad-core graphics),16/64/128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 8| upgradable to iOS 10.3.2,8 MP| f/2.2| 29mm| phase detection autofocus| OIS| dual-LED (dual tone) flash|,1 GB RAM DDR3,No,Nano-SIM,1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2014 September,2.0| reversible connector
